"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"http://kzeso.com/wp-content/uploads/2017/02/pdg508m.pdf","application/pdf","200","OK","Indexable","","ПДГ 508М","8","95","","0","0","","0","","0","","0","","","","","","","","","","153081","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,056","Mon, 25 Sep 2017 08:53:26 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/pdg508m.pdf","2023-04-27 12:54:37"
"http://kzeso.com/wp-content/uploads/2017/01/tdm_259.pdf","application/pdf","200","OK","Indexable","","ТДМ 259","7","82","","0","0","","0","","0","","0","","","","","","","","","","151591","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:03 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/tdm_259.pdf","2023-04-27 12:54:38"
"http://kzeso.com/wp-content/uploads/2017/01/ki009-315.pdf","application/pdf","200","OK","Indexable","","КИ 009-315","10","104","","0","0","","0","","0","","0","","","","","","","","","","273033","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:02 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/ki009-315.pdf","2023-04-27 12:54:38"
"http://kzeso.com/wp-content/uploads/2017/02/kp-010-3.pdf","application/pdf","200","OK","Indexable","","КП 010-3","8","82","","0","0","","0","","0","","0","","","","","","","","","","182827","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:12 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kp-010-3.pdf","2023-04-27 12:54:39"
"http://kzeso.com/wp-content/uploads/2017/02/a-1412.pdf","application/pdf","200","OK","Indexable","","А-1412","6","63","","0","0","","0","","0","","0","","","","","","","","","","180980","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:07 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/a-1412.pdf","2023-04-27 12:54:39"
"http://kzeso.com/wp-content/uploads/2017/02/kp-015.pdf","application/pdf","200","OK","Indexable","","КП 015","6","65","","0","0","","0","","0","","0","","","","","","","","","","176125","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:12 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kp-015.pdf","2023-04-27 12:54:40"
"http://kzeso.com/wp-content/uploads/2017/02/kt_008.pdf","application/pdf","200","OK","Indexable","","КТ 008","6","63","","0","0","","0","","0","","0","","","","","","","","","","200799","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,043","Mon, 25 Sep 2017 08:53:16 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kt_008.pdf","2023-04-27 12:54:40"
"http://kzeso.com/wp-content/uploads/2017/02/ksh_002.pdf","application/pdf","200","OK","Indexable","","КШ 002","6","70","","0","0","","0","","0","","0","","","","","","","","","","155162","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,045","Mon, 25 Sep 2017 08:53:14 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ksh_002.pdf","2023-04-27 12:54:41"
"http://kzeso.com/wp-content/uploads/2017/01/vdu-1201k.pdf","application/pdf","200","OK","Indexable","","ВДУ 1201К _КИУ-1201_","20","215","","0","0","","0","","0","","0","","","","","","","","","","149698","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,113","Mon, 25 Sep 2017 08:53:05 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/01/vdu-1201k.pdf","2023-04-27 12:54:41"
"http://kzeso.com/wp-content/uploads/2017/02/gdf-1001.pdf","application/pdf","200","OK","Indexable","","ГДФ-1001","8","91","","0","0","","0","","0","","0","","","","","","","","","","155858","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:08 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/gdf-1001.pdf","2023-04-27 12:54:42"
"http://kzeso.com/wp-content/uploads/2017/02/ka_001.pdf","application/pdf","200","OK","Indexable","","КА 001","6","64","","0","0","","0","","0","","0","","","","","","","","","","149824","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,044","Mon, 25 Sep 2017 08:53:10 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/ka_001.pdf","2023-04-27 12:54:42"
"http://kzeso.com/wp-content/uploads/2017/02/kp018.pdf","application/pdf","200","OK","Indexable","","КП 018","6","65","","0","0","","0","","0","","0","","","","","","","","","","193296","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,064","Mon, 25 Sep 2017 08:53:13 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kp018.pdf","2023-04-27 12:54:42"
"http://kzeso.com/wp-content/uploads/2017/02/mt2202.pdf","application/pdf","200","OK","Indexable","","МТ-2202","7","79","","0","0","","0","","0","","0","","","","","","","","","","138742","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,153","Mon, 25 Sep 2017 08:53:25 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/mt2202.pdf","2023-04-27 12:54:42"
"http://kzeso.com/wp-content/uploads/2017/02/kp-007.pdf","application/pdf","200","OK","Indexable","","КП 007","6","65","","0","0","","0","","0","","0","","","","","","","","","","170828","0","","","","","0,000","4","","1","1","0","0,320","0","0","0","0","0","0","","","","","","0,048","Mon, 25 Sep 2017 08:53:11 GMT","","","","1.1","http://kzeso.com/wp-content/uploads/2017/02/kp-007.pdf","2023-04-27 12:54:42"
